year,category,prize,motivation,laureate_type,full_name,birth_date,birth_city,birth_country,birth_country_current,sex,organization_name,organization_city,organization_country
1953,Chemistry,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Germany,Male,University of Freiburg,Breisgau,Germany
1953,Literature,The Nobel Prize in Literature 1953,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",Individual,Sir Winston Leonard Spencer Churchill,1874-11-30,Woodstock,United Kingdom,United Kingdom,Male,,,
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Russia,Male,Harvard Medical School,"Boston, MA",United States of America
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of the citric acid cycle""",Individual,Hans Adolf Krebs,1900-08-25,Hildesheim,Germany,Germany,Male,Sheffield University,Sheffield,United Kingdom
1953,Peace,The Nobel Peace Prize 1953,,Individual,George Catlett Marshall,1880-12-31,"Uniontown, PA",United States of America,United States of America,Male,,,
1953,Physics,The Nobel Prize in Physics 1953,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",Individual,Frits Zernike,1888-07-16,Amsterdam,Netherlands,Netherlands,Male,Groningen University,Groningen,Netherlands
1954,Chemistry,The Nobel Prize in Chemistry 1954,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",Individual,Linus Carl Pauling,1901-02-28,"Portland, OR",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1954,Literature,The Nobel Prize in Literature 1954,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style""",Individual,Ernest Miller Hemingway,1899-07-21,"Oak Park, IL",United States of America,United States of America,Male,,,
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",Individual,Frederick Chapman Robbins,1916-08-25,"Auburn, AL",United States of America,United States of America,Male,Western Reserve University,"Cleveland, OH",United States of America
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",United States of America,United States of America,Male,Harvard Medical School,"Boston, MA",United States of America
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",Individual,Thomas Huckle Weller,1915-06-15,"Ann Arbor, MI",United States of America,United States of America,Male,Children's Medical Center,"Boston, MA",United States of America
1954,Peace,The Nobel Peace Prize 1954,,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),,,,,unknown,,,
1954,Physics,The Nobel Prize in Physics 1954,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",Individual,Max Born,1882-12-11,Breslau (Wroclaw),Germany (Poland),Poland,Male,Edinburgh University,Edinburgh,United Kingdom
1954,Physics,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Germany,Male,University of Heidelberg,Heidelberg,Germany
1955,Chemistry,The Nobel Prize in Chemistry 1955,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",Individual,Vincent du Vigneaud,1901-05-18,"Chicago, IL",United States of America,United States of America,Male,Cornell University,"Ithaca, NY",United States of America
1955,Literature,The Nobel Prize in Literature 1955,"""for his vivid epic power which has renewed the great narrative art of Iceland""",Individual,Halldór Kiljan Laxness,1902-04-23,Reykjavik,Iceland,Iceland,Male,,,
1955,Medicine,The Nobel Prize in Physiology or Medicine 1955,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",Individual,Axel Hugo Theodor Theorell,1903-07-06,Linköping,Sweden,Sweden,Male,Karolinska Institutet,Stockholm,Sweden
1955,Physics,The Nobel Prize in Physics 1955,"""for his precision determination of the magnetic moment of the electron""",Individual,Polykarp Kusch,1911-01-26,Blankenburg,Germany,Germany,Male,Columbia University,"New York, NY",United States of America
1955,Physics,The Nobel Prize in Physics 1955,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",Individual,Willis Eugene Lamb,1913-07-12,"Los Angeles, CA",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",Individual,Nikolay Nikolaevich Semenov,1896-04-03,Saratov,Russia,Russia,Male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,Russia
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",Individual,Sir Cyril Norman Hinshelwood,1897-05-19,London,United Kingdom,United Kingdom,Male,University of Oxford,Oxford,United Kingdom
1956,Literature,The Nobel Prize in Literature 1956,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",Individual,Juan Ramón Jiménez,1881-12-24,Moguer,Spain,Spain,Male,,,
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",Individual,André Frédéric Cournand,1895-09-24,Paris,France,France,Male,Columbia University,"New York, NY",United States of America
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",Individual,Dickinson W. Richards,1895-10-30,"Orange, NJ",United States of America,United States of America,Male,Columbia University,"New York, NY",United States of America
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",Individual,Werner Forssmann,1904-08-29,Berlin,Germany,Germany,Male,Mainz University,Mainz,Germany
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",Individual,John Bardeen,1908-05-23,"Madison, WI",United States of America,United States of America,Male,University of Illinois,"Urbana, IL",United States of America
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",Individual,Walter Houser Brattain,1902-02-10,Amoy,China,China,Male,Bell Laboratories,"Murray Hill, NJ",United States of America
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",Individual,William Bradford Shockley,1910-02-13,London,United Kingdom,United Kingdom,Male,"Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",United States of America
1957,Chemistry,The Nobel Prize in Chemistry 1957,"""for his work on nucleotides and nucleotide co-enzymes""",Individual,Lord (Alexander R.) Todd,1907-10-02,Glasgow,Scotland,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1957,Literature,The Nobel Prize in Literature 1957,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",Individual,Albert Camus,1913-11-07,Mondovi,French Algeria (Algeria),Algeria,Male,,,
1957,Medicine,The Nobel Prize in Physiology or Medicine 1957,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",Individual,Daniel Bovet,1907-03-23,Neuchâtel,Switzerland,Switzerland,Male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy
1957,Peace,The Nobel Peace Prize 1957,,Individual,Lester Bowles Pearson,1897-04-23,Toronto,Canada,Canada,Male,,,
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",Individual,Chen Ning Yang,1922-09-22,"Hofei, Anhwei",China,China,Male,Institute for Advanced Study,"Princeton, NJ",United States of America
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",Individual,Tsung-Dao (T.D.) Lee,1926-11-24,Shanghai,China,China,Male,Columbia University,"New York, NY",United States of America
1958,Chemistry,The Nobel Prize in Chemistry 1958,"""for his work on the structure of proteins, especially that of insulin""",Individual,Frederick Sanger,1918-08-13,Rendcombe,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1958,Literature,The Nobel Prize in Literature 1958,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",Individual,Boris Leonidovich Pasternak,1890-02-10,Moscow,Russia,Russia,Male,,,
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",Individual,Edward Lawrie Tatum,1909-12-14,"Boulder, CO",United States of America,United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",Individual,George Wells Beadle,1903-10-22,"Wahoo, NE",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",Individual,Joshua Lederberg,1925-05-23,"Montclair, NJ",United States of America,United States of America,Male,University of Wisconsin,"Madison, WI",United States of America
1958,Peace,The Nobel Peace Prize 1958,,Individual,Georges Pire,1910-02-10,Dinant,Belgium,Belgium,Male,,,
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Russia,Male,University of Moscow,Moscow,Russia
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",Individual,Il´ja Mikhailovich Frank,1908-10-23,Leningrad (Saint Petersburg),Russia,Russia,Male,University of Moscow,Moscow,Russia
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",Individual,Pavel Alekseyevich Cherenkov,1904-07-28,Novaya Chigla,Russia,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Russia
1959,Chemistry,The Nobel Prize in Chemistry 1959,"""for his discovery and development of the polarographic methods of analysis""",Individual,Jaroslav Heyrovsky,1890-12-20,Prague,Austria-Hungary (Czech Republic),Czech Republic,Male,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czech Republic
1959,Literature,The Nobel Prize in Literature 1959,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""",Individual,Salvatore Quasimodo,1901-08-20,Modica,Italy,Italy,Male,,,
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",Individual,Arthur Kornberg,1918-03-03,"Brooklyn, NY",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",Individual,Severo Ochoa,1905-09-24,Luarca,Spain,Spain,Male,New York University,"New York, NY",United States of America
1959,Peace,The Nobel Peace Prize 1959,,Individual,Philip J. Noel-Baker,1889-11-01,London,United Kingdom,United Kingdom,Male,,,
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",Individual,Emilio Gino Segrè,1905-02-01,Tivoli,Italy,Italy,Male,University of California,"Berkeley, CA",United States of America
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",Individual,Owen Chamberlain,1920-07-10,"San Francisco, CA",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America
1960,Chemistry,The Nobel Prize in Chemistry 1960,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",Individual,Willard Frank Libby,1908-12-17,"Grand Valley, CO",United States of America,United States of America,Male,University of California,"Los Angeles, CA",United States of America
1960,Literature,The Nobel Prize in Literature 1960,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",Individual,Saint-John Perse,1887-05-31,Pointe-à-Pitre,Guadeloupe Island,Guadeloupe Island,Male,,,
1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",Individual,Peter Brian Medawar,1915-02-28,Rio de Janeiro,Brazil,Brazil,Male,University College London,London,United Kingdom
1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",Individual,Sir Frank Macfarlane Burnet,1899-09-03,Traralgon,Australia,Australia,Male,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia
1960,Peace,The Nobel Peace Prize 1960,,Individual,Albert John Lutuli,1898-01-01,Bulawayo,Southern Rhodesia (Zimbabwe),Zimbabwe,Male,,,
1960,Physics,The Nobel Prize in Physics 1960,"""for the invention of the bubble chamber""",Individual,Donald Arthur Glaser,1926-09-21,"Cleveland, OH",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America
1961,Chemistry,The Nobel Prize in Chemistry 1961,"""for his research on the carbon dioxide assimilation in plants""",Individual,Melvin Calvin,1911-04-08,"St. Paul, MN",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America
1961,Literature,The Nobel Prize in Literature 1961,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",Individual,Ivo Andric,1892-10-10,Dolac,Bosnia (Bosnia and Herzegovina),Bosnia and Herzegovina,Male,,,
1961,Medicine,The Nobel Prize in Physiology or Medicine 1961,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",Individual,Georg von Békésy,1899-06-03,Budapest,Hungary,Hungary,Male,Harvard University,"Cambridge, MA",United States of America
1961,Peace,The Nobel Peace Prize 1961,,Individual,Dag Hjalmar Agne Carl Hammarskjöld,1905-07-29,Jönköping,Sweden,Sweden,Male,,,
1961,Physics,The Nobel Prize in Physics 1961,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",Individual,Robert Hofstadter,1915-02-05,"New York, NY",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America
1961,Physics,The Nobel Prize in Physics 1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",Individual,Rudolf Ludwig Mössbauer,1929-01-31,Munich,Germany,Germany,Male,Technical University,Munich,Germany
1962,Chemistry,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",Individual,John Cowdery Kendrew,1917-03-24,Oxford,United Kingdom,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom
1962,Chemistry,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",Individual,Max Ferdinand Perutz,1914-05-19,Vienna,Austria,Austria,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom
1962,Literature,The Nobel Prize in Literature 1962,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""",Individual,John Steinbeck,1902-02-27,"Salinas, CA",United States of America,United States of America,Male,,,
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",Individual,Francis Harry Compton Crick,1916-06-08,Northampton,United Kingdom,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",Individual,James Dewey Watson,1928-04-06,"Chicago, IL",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",Individual,Maurice Hugh Frederick Wilkins,1916-12-15,Pongaroa,New Zealand,New Zealand,Male,London University,London,United Kingdom
1962,Peace,The Nobel Peace Prize 1962,,Individual,Linus Carl Pauling,1901-02-28,"Portland, OR",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1962,Physics,The Nobel Prize in Physics 1962,"""for his pioneering theories for condensed matter, especially liquid helium""",Individual,Lev Davidovich Landau,1908-01-22,Baku,Russian Empire (Azerbaijan),Azerbaijan,Male,Academy of Sciences,Moscow,Russia
1963,Chemistry,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",Individual,Giulio Natta,1903-02-26,Imperia,Italy,Italy,Male,Institute of Technology,Milan,Italy
1963,Chemistry,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",Individual,Karl Ziegler,1898-11-26,Helsa,Germany,Germany,Male,Max-Planck-Institut,Mülheim/Ruhr,Germany
1963,Literature,The Nobel Prize in Literature 1963,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""",Individual,Giorgos Seferis,1900-03-13,Smyrna (Izmir),Ottoman Empire (Turkey),Turkey,Male,,,
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",Individual,Alan Lloyd Hodgkin,1914-02-05,Banbury,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",Individual,Andrew Fielding Huxley,1917-11-22,Hampstead,United Kingdom,United Kingdom,Male,University College London,London,United Kingdom
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",Individual,Sir John Carew Eccles,1903-01-27,Melbourne,Australia,Australia,Male,Australian National University,Canberra,Australia
1963,Peace,The Nobel Peace Prize 1963,,Organization,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,unknown,,,
1963,Peace,The Nobel Peace Prize 1963,,Organization,Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies),,,,,unknown,,,
1963,Physics,The Nobel Prize in Physics 1963,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles""",Individual,Eugene Paul Wigner,1902-11-17,Budapest,Austria-Hungary (Hungary),Hungary,Male,Princeton University,"Princeton, NJ",United States of America
1963,Physics,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure""",Individual,J. Hans D. Jensen,1907-06-25,Hamburg,Germany,Germany,Male,University of Heidelberg,Heidelberg,Germany
1963,Physics,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure""",Individual,Maria Goeppert Mayer,1906-06-28,Kattowitz (Katowice),Germany (Poland),Poland,Female,University of California,"San Diego, CA",United States of America
1964,Chemistry,The Nobel Prize in Chemistry 1964,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",Individual,Dorothy Crowfoot Hodgkin,1910-05-12,Cairo,Egypt,Egypt,Female,University of Oxford,Oxford,United Kingdom
1964,Literature,The Nobel Prize in Literature 1964,"""for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age""",Individual,Jean-Paul Sartre,1905-06-21,Paris,France,France,Male,,,
1964,Medicine,The Nobel Prize in Physiology or Medicine 1964,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",Individual,Feodor Lynen,1911-04-06,Munich,Germany,Germany,Male,Max-Planck-Institut,Munich,Germany
1964,Medicine,The Nobel Prize in Physiology or Medicine 1964,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",Individual,Konrad Bloch,1912-01-21,Neisse (Nysa),Germany (Poland),Poland,Male,Harvard University,"Cambridge, MA",United States of America
1964,Peace,The Nobel Peace Prize 1964,,Individual,Martin Luther King Jr.,1929-01-15,"Atlanta, GA",United States of America,United States of America,Male,,,
1964,Physics,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",Individual,Aleksandr Mikhailovich Prokhorov,1916-07-11,Atherton,Australia,Australia,Male,P.N. Lebedev Physical Institute,Moscow,Russia
1964,Physics,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",Individual,Charles Hard Townes,1915-07-28,"Greenville, SC",United States of America,United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
1964,Physics,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",Individual,Nicolay Gennadiyevich Basov,1922-12-14,Usman,Union of Soviet Socialist Republics (Russia),Russia,Male,P.N. Lebedev Physical Institute,Moscow,Russia
1965,Chemistry,The Nobel Prize in Chemistry 1965,"""for his outstanding achievements in the art of organic synthesis""",Individual,Robert Burns Woodward,1917-04-10,"Boston, MA",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1965,Literature,The Nobel Prize in Literature 1965,"""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people""",Individual,Mikhail Aleksandrovich Sholokhov,1905-05-24,Veshenskaya,Russia,Russia,Male,,,
1965,Medicine,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",Individual,André Lwoff,1902-05-08,Ainay-le-Château,France,France,Male,Institut Pasteur,Paris,France
1965,Medicine,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",Individual,François Jacob,1920-06-17,Nancy,France,France,Male,Institut Pasteur,Paris,France
1965,Medicine,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",Individual,Jacques Monod,1910-02-09,Paris,France,France,Male,Institut Pasteur,Paris,France
1965,Peace,The Nobel Peace Prize 1965,,Organization,United Nations Children's Fund (UNICEF),,,,,unknown,,,
1965,Physics,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",Individual,Julian Schwinger,1918-02-12,"New York, NY",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1965,Physics,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",Individual,Richard P. Feynman,1918-05-11,"New York, NY",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1965,Physics,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",Individual,Sin-Itiro Tomonaga,1906-03-31,Kyoto,Japan,Japan,Male,Tokyo University of Education,Tokyo,Japan
1966,Chemistry,The Nobel Prize in Chemistry 1966,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",Individual,Robert S. Mulliken,1896-06-07,"Newburyport, MA",United States of America,United States of America,Male,University of Chicago,"Chicago, IL",United States of America
1966,Literature,The Nobel Prize in Literature 1966,"""for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength""",Individual,Nelly Sachs,1891-12-10,Berlin,Germany,Germany,Female,,,
1966,Literature,The Nobel Prize in Literature 1966,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",Individual,Shmuel Yosef Agnon,1888-07-17,Buczacz (Buchach),Austria-Hungary (Ukraine),Ukraine,Male,,,
1966,Medicine,The Nobel Prize in Physiology or Medicine 1966,"""for his discoveries concerning hormonal treatment of prostatic cancer""",Individual,Charles Brenton Huggins,1901-09-22,Halifax,Canada,Canada,Male,University of Chicago,"Chicago, IL",United States of America
1966,Medicine,The Nobel Prize in Physiology or Medicine 1966,"""for his discovery of tumour-inducing viruses""",Individual,Peyton Rous,1879-10-05,"Baltimore, MD",United States of America,United States of America,Male,Rockefeller University,"New York, NY",United States of America
1966,Physics,The Nobel Prize in Physics 1966,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",Individual,Alfred Kastler,1902-05-03,Guebwiller,Germany (France),France,Male,École Normale Supérieure,Paris,France
1967,Chemistry,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Individual,George Porter,1920-12-06,Stainforth,United Kingdom,United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom
1967,Chemistry,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Individual,Manfred Eigen,1927-05-09,Bochum,Germany,Germany,Male,Max-Planck-Institut,Göttingen,Germany
1967,Chemistry,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Individual,Ronald George Wreyford Norrish,1897-11-09,Cambridge,United Kingdom,United Kingdom,Male,Institute of Physical Chemistry,Cambridge,United Kingdom
1967,Literature,The Nobel Prize in Literature 1967,"""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America""",Individual,Miguel Angel Asturias,1899-10-19,Guatemala City,Guatemala,Guatemala,Male,,,
1967,Medicine,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",Individual,George Wald,1906-11-18,"New York, NY",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1967,Medicine,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",Individual,Haldan Keffer Hartline,1903-12-22,"Bloomsburg, PA",United States of America,United States of America,Male,Rockefeller University,"New York, NY",United States of America
1967,Medicine,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",Individual,Ragnar Granit,1900-10-30,Helsinki,Russian Empire (Finland),Finland,Male,Karolinska Institutet,Stockholm,Sweden
1967,Physics,The Nobel Prize in Physics 1967,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",Individual,Hans Albrecht Bethe,1906-07-02,Strassburg (Strasbourg),Germany (France),France,Male,Cornell University,"Ithaca, NY",United States of America
1968,Chemistry,The Nobel Prize in Chemistry 1968,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""",Individual,Lars Onsager,1903-11-27,Kristiania (Oslo),Norway,Norway,Male,Yale University,"New Haven, CT",United States of America
1968,Literature,The Nobel Prize in Literature 1968,"""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind""",Individual,Yasunari Kawabata,1899-06-11,Osaka,Japan,Japan,Male,,,
1968,Medicine,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis""",Individual,Har Gobind Khorana,1922-01-09,Raipur,India,India,Male,University of Wisconsin,"Madison, WI",United States of America
1968,Medicine,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis""",Individual,Marshall W. Nirenberg,1927-04-10,"New York, NY",United States of America,United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America
1968,Medicine,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis""",Individual,Robert W. Holley,1922-01-28,"Urbana, IL",United States of America,United States of America,Male,Cornell University,"Ithaca, NY",United States of America
1968,Peace,The Nobel Peace Prize 1968,,Individual,René Cassin,1887-10-05,Bayonne,France,France,Male,,,
1968,Physics,The Nobel Prize in Physics 1968,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",Individual,Luis Walter Alvarez,1911-06-13,"San Francisco, CA",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America
